name_x,address_x,number,distancia,name_y,address_y,activate,no_available,total_bases,dock_bikes,free_bases,longitude,latitude
Castellana,"Paseo de la Castellana nº 4,",104,116,Castellana,"Paseo de la Castellana nº 4,",1,0,23,4,19,-3.68958,40.42677
Castellana,"Paseo de la Castellana nº 4,",93,116,Plaza de Margaret Tatcher,"Calle Goya (esquina calle Marqués de Zurgeña),",1,0,23,16,7,-3.6893361690338167,40.42575853342561
"Serrano, 46","Calle Serrano nº 46,",105,142,"Serrano, 46","Calle Serrano nº 46,",1,0,23,5,18,-3.6875418,40.4270832
"Serrano, 46","Calle Serrano nº 46,",92,142,Claudio Coello,"Calle Claudio Coello, 43 ,",1,0,23,5,18,-3.6865463,40.4262945
Plaza de Colón B,"Calle Serrano nº 32,",106B,19,Plaza de Colón B,"Calle Serrano nº 32,",1,0,19,7,12,-3.68789,40.424776
Plaza de Colón B,"Calle Serrano nº 32,",106A,19,Plaza de Colón A,"Calle Serrano nº 32,",1,0,19,6,13,-3.687807,40.424924
Serrano,"Calle Serrano nº 8,",107,196,Serrano,"Calle Serrano nº 8,",1,0,23,10,13,-3.6883841104507464,40.42156087297841
Serrano,"Calle Serrano nº 8,",95,196,Claudio Coello,"Calle Claudio Coello nº 19,",1,0,23,6,17,-3.6869293,40.4225428
Mártires Concepcionistas,"Calle Mártires Concepcionistas nº 2,",108,245,Mártires Concepcionistas,"Calle Mártires Concepcionistas nº 2,",1,0,27,6,21,-3.670652,40.427402
Mártires Concepcionistas,"Calle Mártires Concepcionistas nº 2,",183,245,Hermosilla,"Calle Hermosilla, 135,",1,0,23,4,19,-3.669339,40.425635
Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",109,299,Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",1,0,23,6,17,-3.6814521,40.4301245
Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",88,299,Velázquez,"Calle Velázquez, 13 ,",1,0,23,3,20,-3.6838303,40.4313576
Intercambiador de Moncloa,"Paseo de Moret nº 1,",110,279,Intercambiador de Moncloa,"Paseo de Moret nº 1,",1,0,23,17,6,-3.7201021,40.434745
Intercambiador de Moncloa,"Paseo de Moret nº 1,",111B,279,Metro Moncloa B,"Calle Arcipreste de Hita nº 12,",1,0,23,4,19,-3.7177434,40.433913
Metro Moncloa A,"Calle Arcipreste de Hita nº 8,",111A,42,Metro Moncloa A,"Calle Arcipreste de Hita nº 8,",1,0,23,2,21,-3.7175248,40.4336027
Metro Moncloa A,"Calle Arcipreste de Hita nº 8,",111B,42,Metro Moncloa B,"Calle Arcipreste de Hita nº 12,",1,0,23,4,19,-3.7177434,40.433913
Metro Moncloa B,"Calle Arcipreste de Hita nº 12,",111B,42,Metro Moncloa B,"Calle Arcipreste de Hita nº 12,",1,0,23,4,19,-3.7177434,40.433913
Metro Moncloa B,"Calle Arcipreste de Hita nº 12,",111A,42,Metro Moncloa A,"Calle Arcipreste de Hita nº 8,",1,0,23,2,21,-3.7175248,40.4336027
Paseo de Moret,"Paseo Moret, 9 ,",112,565,Paseo de Moret,"Paseo Moret, 9 ,",1,0,23,14,9,-3.724736,40.4326901
Paseo de Moret,"Paseo Moret, 9 ,",110,565,Intercambiador de Moncloa,"Paseo de Moret nº 1,",1,0,23,17,6,-3.7201021,40.434745
