title,street-address,latitude,longitude,number,type_of_place,distance
Embajada de Malta,PASEO CASTELLANA 45 PLANTA 6 DERECHA,40.4357025961309,-3.6896772816624206,142,embajada,322.2327037505327
Embajada de Malta,PASEO CASTELLANA 45 PLANTA 6 DERECHA,40.4357025961309,-3.6896772816624206,198,embajada,417.1713005414782
Embajada de Marruecos,CALLE SERRANO 179,40.44943613336201,-3.682966115908703,148,embajada,256.21189313653275
Embajada de Marruecos,CALLE SERRANO 179,40.44943613336201,-3.682966115908703,147,embajada,414.18323764220213
Embajada de Marruecos,CALLE SERRANO 179,40.44943613336201,-3.682966115908703,137,embajada,516.8309991131637
Embajada de Mauritania,CALLE PIEDRALAVES 4 PLANTA Baja,40.46350997750835,-3.7284137219262607,316,embajada,948.8938890145735
Embajada de Mauritania,CALLE PIEDRALAVES 4 PLANTA Baja,40.46350997750835,-3.7284137219262607,317,embajada,1154.664266917363
Embajada de Mauritania,CALLE PIEDRALAVES 4 PLANTA Baja,40.46350997750835,-3.7284137219262607,307,embajada,1307.9451386214178
Embajada de Moldavia,PASEO CASTELLANA 178 PLANTA 5 D,40.4608230762265,-3.689108497357059,157,embajada,190.82765161851816
Embajada de Moldavia,PASEO CASTELLANA 178 PLANTA 5 D,40.4608230762265,-3.689108497357059,156,embajada,323.1015279152304
Embajada de Moldavia,PASEO CASTELLANA 178 PLANTA 5 D,40.4608230762265,-3.689108497357059,299,embajada,343.329611663295
Embajada de Montenegro,CALLE ALCALA 89 PLANTA Bajo izquierda,40.42093283981246,-3.685179596781701,102,embajada,109.38619803945292
Embajada de Montenegro,CALLE ALCALA 89 PLANTA Bajo izquierda,40.42093283981246,-3.685179596781701,95,embajada,264.9810560705061
Embajada de Montenegro,CALLE ALCALA 89 PLANTA Bajo izquierda,40.42093283981246,-3.685179596781701,96,embajada,353.0339260450849
Embajada de Mozambique,CALLE ALFONSO RODRIGUEZ SANTAMARIA 8,40.44897315044939,-3.685084095674594,149,embajada,332.21000528735766
Embajada de Mozambique,CALLE ALFONSO RODRIGUEZ SANTAMARIA 8,40.44897315044939,-3.685084095674594,137,embajada,393.46964647810347
Embajada de Mozambique,CALLE ALFONSO RODRIGUEZ SANTAMARIA 8,40.44897315044939,-3.685084095674594,148,embajada,475.50964987622666
Embajada de México,CARRERA SAN JERONIMO 46,40.41605298613373,-3.697338423479512,29,embajada,181.69839884520056
Embajada de México,CARRERA SAN JERONIMO 46,40.41605298613373,-3.697338423479512,28,embajada,255.97351453384613
Embajada de México,CARRERA SAN JERONIMO 46,40.41605298613373,-3.697338423479512,27,embajada,356.8231427152735
Embajada de Mónaco,CALLE VILLANUEVA 12 PLANTA Entreplanta A,40.42254598598297,-3.68874131027488,107,embajada,116.67693220384993
Embajada de Mónaco,CALLE VILLANUEVA 12 PLANTA Entreplanta A,40.42254598598297,-3.68874131027488,95,embajada,202.13092475812394
Embajada de Mónaco,CALLE VILLANUEVA 12 PLANTA Entreplanta A,40.42254598598297,-3.68874131027488,94,embajada,236.76888198617928
Embajada de Nicaragua,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635,523,embajada,430.6920333857455
Embajada de Nicaragua,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635,479,embajada,632.2944523506827
Embajada de Nicaragua,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635,546,embajada,747.6859659670243
Embajada de Nigeria,CALLE SEGRE 23,40.45109181438889,-3.6848225800571006,149,embajada,373.15105561172584
Embajada de Nigeria,CALLE SEGRE 23,40.45109181438889,-3.6848225800571006,148,embajada,382.1221957128716
Embajada de Nigeria,CALLE SEGRE 23,40.45109181438889,-3.6848225800571006,159,embajada,391.4508728610693
Embajada de Noruega,CALLE SERRANO 26 PLANTA 5,40.42419079459679,-3.6878739673021554,106B,embajada,65.16931259521554
Embajada de Noruega,CALLE SERRANO 26 PLANTA 5,40.42419079459679,-3.6878739673021554,106A,embajada,81.96119396390394
Embajada de Noruega,CALLE SERRANO 26 PLANTA 5,40.42419079459679,-3.6878739673021554,95,embajada,211.56528896547562
Embajada de Nueva Zelanda,CALLE PINAR 7 PLANTA 3,40.43726808887648,-3.6885142239148925,141,embajada,229.3663212693613
Embajada de Nueva Zelanda,CALLE PINAR 7 PLANTA 3,40.43726808887648,-3.6885142239148925,139,embajada,318.2028936654841
Embajada de Nueva Zelanda,CALLE PINAR 7 PLANTA 3,40.43726808887648,-3.6885142239148925,142,embajada,434.7872343608072
Embajada de Omán,AVENIDA CARDENAL HERRERA ORIA 138,40.489372517911235,-3.701082104378252,606,embajada,366.02478875466517
Embajada de Omán,AVENIDA CARDENAL HERRERA ORIA 138,40.489372517911235,-3.701082104378252,605,embajada,493.67339271936294
Embajada de Omán,AVENIDA CARDENAL HERRERA ORIA 138,40.489372517911235,-3.701082104378252,586,embajada,879.0097566217427
Embajada de Orden de Malta,CALLE PRADO 26,40.41520561977732,-3.6974239687412025,29,embajada,228.79361650246173
Embajada de Orden de Malta,CALLE PRADO 26,40.41520561977732,-3.6974239687412025,27,embajada,286.3283698635263
Embajada de Orden de Malta,CALLE PRADO 26,40.41520561977732,-3.6974239687412025,28,embajada,338.0484730419636
Embajada de Pakistán,CALLE PEDRO DE VALDIVIA 16,40.43912685155856,-3.688026179153966,139,embajada,268.6263813680992
Embajada de Pakistán,CALLE PEDRO DE VALDIVIA 16,40.43912685155856,-3.688026179153966,250,embajada,299.754768157055
Embajada de Pakistán,CALLE PEDRO DE VALDIVIA 16,40.43912685155856,-3.688026179153966,141,embajada,441.4601665434913
Embajada de Palestina,AVENIDA PIO XII 20,40.465869898534564,-3.6750643949484867,288,embajada,313.96023569315133
Embajada de Palestina,AVENIDA PIO XII 20,40.465869898534564,-3.6750643949484867,286,embajada,388.74521682564585
Embajada de Palestina,AVENIDA PIO XII 20,40.465869898534564,-3.6750643949484867,254,embajada,567.20506484353
Embajada de Panamá,CALLE CARACAS 23 PLANTA BAJO IZQUIERDA,40.43073323148883,-3.6939542885166206,122,embajada,300.2122091590098
Embajada de Panamá,CALLE CARACAS 23 PLANTA BAJO IZQUIERDA,40.43073323148883,-3.6939542885166206,8,embajada,359.4403360470717
Embajada de Panamá,CALLE CARACAS 23 PLANTA BAJO IZQUIERDA,40.43073323148883,-3.6939542885166206,125,embajada,517.0497889114821
Embajada de Paraguay,CALLE DOCTOR FLEMING 3 PLANTA 1,40.45493881024835,-3.689343217985603,253,embajada,116.26533596714995
